Samples	Result	ImpGenos	Experimental
NA18498	II	1	1
NA18500	II	1	1
NA18501	II	1	1
NA18502	II	1/1	1/1
NA18503	II	1	1
NA18504	II	1	1
NA18505	II	1/1	1/1
NA18506	II	1	1
NA18507	II	1	1
NA18508	II	1/1	1/1
NA18515	II	1	1
NA18516	NN	0	1
NA18517	II	1/1	1/1
NA18519	II	1	1
NA18521	II	1	1
NA18522	II	1	1
NA18523	II	1/1	1/1
NA18852	II	1/1	1/1
NA18853	II	1	1
NA18854	II	1	1
NA18855	II	1/1	1/1
NA18856	II	1	1
NA18857	II	1	1
NA18858	II	1/1	1/1
NA18859	NN	0	1
NA18860	II	1	1
NA18861	II	1/1	1/1
NA18862	II	1	1
NA18863	II	1	1
NA18867	II	1/1	1/1
NA18870	II	1/1	1/1
NA18871	II	1	1
NA18872	II	1	1
NA18910	II	1	1
NA18912	II	1/1	1/1
NA18913	II	1	1
NA18914	II	1	1
NA19027	II	1	1
NA19028	II	1	1
NA19031	II	1	1
NA19035	NN	0	1
NA19036	II	1/1	1/1
NA19038	II	1/1	1/1
NA19041	II	1	1
NA19092	NN	0	1
NA19093	II	1/1	1/1
NA19094	II	1/1	1/1
NA19098	II	1	1
NA19099	II	1/1	1/1
NA19100	II	1/1	1/1
NA19101	II	1	1
NA19102	II	1/1	1/1
NA19103	II	1	1
NA19108	NN	0/0	1/1
NA19116	II	1/1	1/1
NA19118	II	1/1	1/1
NA19119	II	1	1
NA19120	II	1	1
NA19127	II	1/1	1/1
NA19128	II	1	1
NA19129	II	1/1	1/1
NA19130	II	1	1
NA19131	II	1/1	1/1
NA19132	II	1/1	1/1
NA19137	II	1/1	1/1
NA19138	II	1	1
NA19139	II	1	1
NA19140	II	1/1	1/1
NA19141	NN	0	1
NA19142	NN	0	1
NA19143	II	1/1	1/1
NA19144	II	1	1
NA19145	II	1	1
NA19146	NN	0	1
NA19150	II	1	1
NA19152	II	1/1	1/1
NA19153	II	1	1
NA19154	II	1	1
NA19159	II	1/1	1/1
NA19160	II	1	1
NA19161	II	1	1
NA19171	II	1	1
NA19172	II	1/1	1/1
NA19173	II	1	1
NA19189	NN	0	1
NA19200	II	1	1
NA19201	II	1/1	1/1
NA19202	II	1/1	1/1
NA19203	II	1	1
NA19204	II	1/1	1/1
NA19205	II	1	1
NA19206	II	1/1	1/1
NA19207	II	1	1
NA19208	II	1	1
NA19209	II	1/1	1/1
NA19210	II	1	1
NA19211	II	1	1
NA19213	II	1	1
NA19221	II	1/1	1/1
NA19222	II	1/1	1/1
NA19223	II	1	1
NA19238	II	1/1	1/1
NA19239	II	1	1
NA19240	II	1/1	1/1
NA19307	II	1	1
NA19308	II	1	1
NA19309	II	1	1
NA19310	II	1/1	1/1
NA19314	II	1/1	1/1
NA19315	II	1/1	1/1
NA19316	II	1/1	1/1
NA19317	II	1	1
NA19319	NN	0	0
NA19321	II	1/1	1/1
NA19324	II	1/1	1/1
NA19327	II	1/1	1/1
NA19328	II	1/1	1/1
NA19332	II	1/1	1/1
NA19334	II	1	1
NA19346	II	1	1
NA19347	II	1	1
NA19350	II	1	1
NA19360	II	1	1
NA19372	NN	0	1
NA19374	II	1	1
NA19375	II	1	1
NA19376	II	1	1
NA19377	II	1/1	1/1
NA19379	II	1/1	1/1
NA19380	II	1	1
NA19384	II	1	1
NA19385	NN	0	1
NA19390	II	1/1	1/1
NA19391	II	1/1	1/1
NA19393	II	1	1
NA19394	II	1	1
NA19397	NN	0	1
NA19399	II	1/1	0/1
NA19403	NI	0/1	0/1
NA19404	II	1/1	1/1
NA19428	II	1	1
NA19429	II	1	1
NA19430	NN	0	1
NA19431	II	1/1	1/1
NA19434	NI	0/1	0/1
NA19435	II	1/1	1/1
NA19436	NI	0/1	0/1
NA19437	II	1/1	1/1
NA19438	II	1/1	1/1
NA19439	II	1/1	1/1
NA19440	II	1/1	1/1
NA19443	NN	0	1
NA19445	II	1/1	1/1
NA19446	II	1/1	1/1
NA19448	II	1	1
NA19449	II	1/1	1/1
NA19451	II	1	1
NA19452	II	1	1
NA19455	II	1	1
NA19456	II	1/1	1/1
NA19457	II	1/1	1/1
NA19462	II	1/1	1/1
NA19463	II	1/1	1/1
NA19466	II	1	1
NA19467	II	1/1	1/1
NA19468	II	1/1	1/1
NA19471	II	1/1	1/1
NA19472	II	1/1	1/1
NA19473	II	1/1	1/1
NA19474	II	1/1	1/1
